ID_product	Product	ID	index	CHEBI.Label	CHEBI.ID	Concentration	unit	value
		ID		I 'active ingredient in'	TYPE			I 'has concentration value'
PESTON:0112839	ECODIAN STAR	PESTON:0700195	195	(Z)-Tamarindienal	CHEBI:178341	0.70%	%	0.7
PESTON:0113085	ECODIAN COMBI	PESTON:0700196	196	(Z)-Tamarindienal	CHEBI:178341	0.70%	%	0.7
PESTON:0115998	ADIVENIR DUO	PESTON:0700197	197	(Z)-Tamarindienal	CHEBI:178341	0.70%	%	0.7
PESTON:0111551	ISOMATE C PLUS	PESTON:0700198	198	(Z)-Tamarindienal	CHEBI:178341	116.0 m	mg	116
PESTON:0111558	RAK 3+4	PESTON:0700199	199	(Z)-Tamarindienal	CHEBI:178341	160.0 m	mg	160
PESTON:0114709	ISOMATE A/OFM	PESTON:0700200	200	(Z)-Tamarindienal	CHEBI:178341	164.8 m	mg	164.8
PESTON:0111552	ISOMATE C TT	PESTON:0700201	201	(Z)-Tamarindienal	CHEBI:178341	234.0 m	mg	234
PESTON:0116774	ISOMATE C LR MAX TT	PESTON:0700202	202	(Z)-Tamarindienal	CHEBI:178341	38.50%	%	38.5
PESTON:0111550	ISOMATE C LR	PESTON:0700203	203	(Z)-Tamarindienal	CHEBI:178341	41.5 m	%	41.5
PESTON:0117226	CHECKMATE PUFFER FRUIT MULTI	PESTON:0700204	204	(Z)-Tamarindienal	CHEBI:178341			
PESTON:0114351	LENA MATE C	PESTON:0700205	205	(Z)-Tamarindienal	CHEBI:178341			
PESTON:0117716	BOX T PRO PRESS	PESTON:0700206	206	(Z,Z)-alpha-farnesene	CHEBI:39239	70	%	70
PESTON:0117874	CRYPTOTEC	PESTON:0700207	207	(Z,Z)-alpha-farnesene	CHEBI:39239	165.0 m/K	mg	165
PESTON:0117874	CRYPTOTEC	PESTON:0700208	208	(Z,Z,Z)-geranylgeraniol	CHEBI:18822	165.0 m/K	mg	165
PESTON:0102649	VERDERIN E	PESTON:0700209	209	_-hexachlorocyclohexane	CHEBI:32888	0	%	0
PESTON:0103033	ESCA REGINA	PESTON:0700210	210	_-hexachlorocyclohexane	CHEBI:32888	0	%	0
PESTON:0105912	SILSOL CEREALI	PESTON:0700211	211	_-hexachlorocyclohexane	CHEBI:32888	0	%	0
PESTON:0102657	LINTOX 1 GRANULARE	PESTON:0700212	212	_-hexachlorocyclohexane	CHEBI:32888	1	%	1
PESTON:0102781	VERDEGAMMA INODORO	PESTON:0700213	213	_-hexachlorocyclohexane	CHEBI:32888	1	%	1
PESTON:0102659	LINTOX 2 GRANULARE	PESTON:0700214	214	_-hexachlorocyclohexane	CHEBI:32888	2	%	2
PESTON:0102775	SIVAMLIN P2 GRANULARE	PESTON:0700215	215	_-hexachlorocyclohexane	CHEBI:32888	2	%	2
PESTON:0103665	GAMMAGRO G NORMALE	PESTON:0700216	216	_-hexachlorocyclohexane	CHEBI:32888	2	%	2
PESTON:0102526	SIVAMLIN P3 GRANULARE	PESTON:0700217	217	_-hexachlorocyclohexane	CHEBI:32888	2.9	%	2.9
PESTON:0102366	LIG	PESTON:0700218	218	_-hexachlorocyclohexane	CHEBI:32888	3	%	3
PESTON:0102436	GAMMATRE	PESTON:0700219	219	_-hexachlorocyclohexane	CHEBI:32888	3	%	3
PESTON:0102445	FITOGAMMA INODORO G 3	PESTON:0700220	220	_-hexachlorocyclohexane	CHEBI:32888	3	%	3
PESTON:0102564	TERLIN 3G	PESTON:0700221	221	_-hexachlorocyclohexane	CHEBI:32888	3	%	3
